2026-08-12 05:28:29 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 05:28:29 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 05:28:30 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 05:28:30 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 05:28:31 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/ ...
2026-08-12 05:28:41 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 05:35:52 | WARNING  | freeport | Intento de login fallido #1 desde 192.168.1.36
2026-08-12 15:38:54 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 15:38:54 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 15:38:55 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 15:38:55 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 15:38:55 | INFO     | freeport | Limpieza: eliminado temporal huerfano .gitkeep
2026-08-12 15:38:56 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/ ...
2026-08-12 15:39:00 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 15:48:36 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 15:48:36 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_154836.db
2026-08-12 15:48:36 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 15:49:46 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 15:49:46 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 15:49:46 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 15:49:46 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 15:49:46 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 15:49:48 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/ ...
2026-08-12 15:49:52 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 15:49:53 | INFO     | freeport | ======================================================================
2026-08-12 15:49:53 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://fell-empty-thesis-copies.trycloudflare.com
2026-08-12 15:49:53 | INFO     | freeport | ======================================================================
